category,id,key,en,ko,zh_TW,title_en,title_ko,title_zh_TW
champion,Aatrox,266,Aatrox,아트록스,厄薩斯,the Darkin Blade,다르킨의 검,冥血劍魔
champion,Ahri,103,Ahri,아리,阿璃,the Nine-Tailed Fox,구미호,九尾妖狐
champion,Akali,84,Akali,아칼리,阿卡莉,the Rogue Assassin,섬기는 이 없는 암살자,隻影刺客
champion,Akshan,166,Akshan,아크샨,埃可尚,the Rogue Sentinel,떠도는 감시자,俠盜哨兵
champion,Alistar,12,Alistar,알리스타,亞歷斯塔,the Minotaur,미노타우로스,牛頭酋長
champion,Ambessa,799,Ambessa,암베사,安比薩,Matriarch of War,전장의 우두머리,鐵血狼母
champion,Amumu,32,Amumu,아무무,阿姆姆,the Sad Mummy,슬픈 미라,殤之木乃伊
champion,Anivia,34,Anivia,애니비아,艾妮維亞,the Cryophoenix,얼음불사조,冰晶鳳凰
champion,Annie,1,Annie,애니,安妮,the Dark Child,어둠의 아이,黑暗之女
champion,Aphelios,523,Aphelios,아펠리오스,亞菲利歐,the Weapon of the Faithful,신념의 무기,信仰銳武
champion,Ashe,22,Ashe,애쉬,艾希,the Frost Archer,서리 궁수,冰霜射手
champion,AurelionSol,136,Aurelion Sol,아우렐리온 솔,翱銳龍獸,The Star Forger,별의 창조자,星際漫遊者
champion,Aurora,893,Aurora,오로라,歐羅拉,the Witch Between Worlds,세계의 경계에 선 마녀,跨界靈使
champion,Azir,268,Azir,아지르,阿祈爾,the Emperor of the Sands,사막의 황제,蘇瑞瑪砂皇
champion,Bard,432,Bard,바드,巴德,the Wandering Caretaker,영겁의 수호자,漂泊守望者
champion,Belveth,200,Bel'Veth,벨베스,貝爾薇斯,the Empress of the Void,공허의 여제,虛空女皇
champion,Blitzcrank,53,Blitzcrank,블리츠크랭크,布里茨,the Great Steam Golem,거대 증기 골렘,蒸汽巨神兵
champion,Brand,63,Brand,브랜드,布蘭德,the Burning Vengeance,타오르는 복수,復仇業火
champion,Braum,201,Braum,브라움,布郎姆,the Heart of the Freljord,프렐요드의 심장,弗雷爾卓德豪腕
champion,Briar,233,Briar,브라이어,布蕾爾,the Restrained Hunger,억눌린 허기,披枷饞鬼
champion,Caitlyn,51,Caitlyn,케이틀린,凱特琳,the Sheriff of Piltover,필트오버의 보안관,執法者
champion,Camille,164,Camille,카밀,卡蜜兒,the Steel Shadow,강철의 그림자,鋼鐵殘影
champion,Cassiopeia,69,Cassiopeia,카시오페아,卡莎碧雅,the Serpent's Embrace,독사의 포옹,蛇之擁抱
champion,Chogath,31,Cho'Gath,초가스,科加斯,the Terror of the Void,공허의 공포,虛空恐懼
champion,Corki,42,Corki,코르키,庫奇,the Daring Bombardier,대담한 폭격수,英勇投彈手
champion,Darius,122,Darius,다리우스,達瑞斯,the Hand of Noxus,녹서스의 실력자,諾克薩斯之力
champion,Diana,131,Diana,다이애나,黛安娜,Scorn of the Moon,차가운 달의 분노,輕藐之月
champion,DrMundo,36,Dr. Mundo,문도 박사,蒙多醫生,the Madman of Zaun,자운의 광인,佐恩狂人
champion,Draven,119,Draven,드레이븐,達瑞文,the Glorious Executioner,화려한 처형자,處刑娛樂大師
champion,Ekko,245,Ekko,에코,艾克,the Boy Who Shattered Time,시간을 달리는 소년,時空少年
champion,Elise,60,Elise,엘리스,伊莉絲,the Spider Queen,거미 여왕,蜘蛛女王
champion,Evelynn,28,Evelynn,이블린,伊芙琳,Agony's Embrace,고통스런 포옹,臨終擁抱
champion,Ezreal,81,Ezreal,이즈리얼,伊澤瑞爾,the Prodigal Explorer,무모한 탐험가,探險家
champion,Fiddlesticks,9,Fiddlesticks,피들스틱,費德提克,the Ancient Fear,오래된 공포,亙古之懼
champion,Fiora,114,Fiora,피오라,菲歐拉,the Grand Duelist,결투의 대가,孤高劍客
champion,Fizz,105,Fizz,피즈,飛斯,the Tidal Trickster,대양의 말썽꾸러기,深海頑童
champion,Galio,3,Galio,갈리오,加里歐,the Colossus,위대한 석상,禦國巨像
champion,Gangplank,41,Gangplank,갱플랭크,剛普朗克,the Saltwater Scourge,바다의 무법자,海洋之災
champion,Garen,86,Garen,가렌,蓋倫,The Might of Demacia,데마시아의 힘,蒂瑪西亞之力
champion,Gnar,150,Gnar,나르,吶兒,the Missing Link,잃어버린 고리,失落之子
champion,Gragas,79,Gragas,그라가스,古拉格斯,the Rabble Rouser,술취한 난동꾼,酒桶之王
champion,Graves,104,Graves,그레이브즈,葛雷夫,the Outlaw,무법자,亡命之徒
champion,Gwen,887,Gwen,그웬,關,The Hallowed Seamstress,신성한 재봉사,聖啟織偶
champion,Hecarim,120,Hecarim,헤카림,赫克林,the Shadow of War,전쟁의 전조,戰爭之影
champion,Heimerdinger,74,Heimerdinger,하이머딩거,漢默丁格,the Revered Inventor,위대한 발명가,大發明家
champion,Hwei,910,Hwei,흐웨이,赫威,the Visionary,몽상가,奇想繪師
champion,Illaoi,420,Illaoi,일라오이,伊羅旖,the Kraken Priestess,크라켄의 여사제,海妖祭司
champion,Irelia,39,Irelia,이렐리아,伊瑞莉雅,the Blade Dancer,칼날 무희,舞劍靈使
champion,Ivern,427,Ivern,아이번,埃爾文,the Green Father,자연의 아버지,綠林之父
champion,Janna,40,Janna,잔나,珍娜,the Storm's Fury,폭풍의 분노,風暴女神
champion,JarvanIV,59,Jarvan IV,자르반 4세,嘉文四世,the Exemplar of Demacia,데마시아의 귀감,蒂瑪西亞楷模
champion,Jax,24,Jax,잭스,賈克斯,Grandmaster at Arms,무기의 달인,武器達人
champion,Jayce,126,Jayce,제이스,杰西,the Defender of Tomorrow,미래의 수호자,明日守護者
champion,Jhin,202,Jhin,진,燼,the Virtuoso,잔혹극의 거장,炫技大師
champion,Jinx,222,Jinx,징크스,吉茵珂絲,the Loose Cannon,난폭한 말괄량이,暴走重砲
champion,KSante,897,K'Sante,크산테,卡桑帝,the Pride of Nazumah,나주마의 긍지,納祖瑪之傲
champion,Kaisa,145,Kai'Sa,카이사,凱莎,Daughter of the Void,공허의 딸,虛空之女
champion,Kalista,429,Kalista,칼리스타,克黎思妲,the Spear of Vengeance,복수의 화신,復仇之矛
champion,Karma,43,Karma,카르마,卡瑪,the Enlightened One,깨우친 자,魂之啟者
champion,Karthus,30,Karthus,카서스,卡爾瑟斯,the Deathsinger,죽음을 노래하는 자,死亡頌唱者
champion,Kassadin,38,Kassadin,카사딘,卡薩丁,the Void Walker,공허의 방랑자,虛空行者
champion,Katarina,55,Katarina,카타리나,卡特蓮娜,the Sinister Blade,사악한 칼날,不祥之刃
champion,Kayle,10,Kayle,케일,凱爾,the Righteous,정의로운 자,正義天使
