category,id,key,en,ko,zh_TW,item_tier
item,1001,1001,Boots,장화,鞋子,boots
item,1004,1004,Faerie Charm,요정의 부적,仙女護符,basic
item,1006,1006,Rejuvenation Bead,원기 회복의 구슬,治療寶珠,basic
item,1011,1011,Giant's Belt,거인의 허리띠,巨人腰帶,epic
item,1018,1018,Cloak of Agility,민첩성의 망토,靈巧披風,basic
item,1026,1026,Blasting Wand,방출의 마법봉,爆裂魔杖,basic
item,1027,1027,Sapphire Crystal,사파이어 수정,藍水晶,basic
item,1028,1028,Ruby Crystal,루비 수정,紅水晶,basic
item,1029,1029,Cloth Armor,천 갑옷,布甲,basic
item,1031,1031,Chain Vest,쇠사슬 조끼,鎖子甲,epic
item,1033,1033,Null-Magic Mantle,마법무효화의 망토,抗魔斗篷,basic
item,1036,1036,Long Sword,롱소드,長劍,starter
item,1037,1037,Pickaxe,곡괭이,十字鎬,basic
item,1038,1038,B. F. Sword,B.F. 대검,暴風之劍,basic
item,1042,1042,Dagger,단검,短劍,basic
item,1043,1043,Recurve Bow,곡궁,反曲弓,epic
item,1052,1052,Amplifying Tome,증폭의 고서,增幅典籍,basic
item,1053,1053,Vampiric Scepter,흡혈의 낫,吸血鬼權杖,epic
item,1054,1054,Doran's Shield,도란의 방패,多蘭之盾,starter
item,1055,1055,Doran's Blade,도란의 검,多蘭之劍,starter
item,1056,1056,Doran's Ring,도란의 반지,多蘭之戒,starter
item,1057,1057,Negatron Cloak,음전자 망토,負極斗篷,epic
item,1058,1058,Needlessly Large Rod,쓸데없이 큰 지팡이,巨型魔棒,basic
item,1082,1082,Dark Seal,암흑의 인장,黑暗玉璽,starter
item,1083,1083,Cull,수확의 낫,剔除鐮刀,starter
item,1086,1086,Doran's Bow,도란의 활,多蘭之弓,starter
item,1101,1101,Scorchclaw Pup,새끼 화염발톱,熾爪幼犬,basic
item,1102,1102,Gustwalker Hatchling,새끼 바람돌이,馭風幼狐,basic
item,1103,1103,Mosstomper Seedling,새끼 이끼쿵쿵이,重踏幼螈,basic
item,1120,1120,Doran's Helm,도란의 투구,多蘭之盔,starter
item,2003,2003,Health Potion,체력 물약,生命藥水,consumable
item,2019,2019,Steel Sigil,강철 인장,鋼鐵紋章,epic
item,2020,2020,The Brutalizer,야수화,兇殘之柄,epic
item,2021,2021,Tunneler,땅굴 채굴기,鑽掘機,epic
item,2022,2022,Glowing Mote,빛나는 티끌,發光結晶,basic
item,2031,2031,Refillable Potion,충전형 물약,回復藥水,consumable
item,2051,2051,Guardian's Horn,수호자의 뿔피리,保衛者號角,starter
item,2055,2055,Control Ward,제어 와드,控域守衛,consumable
item,2065,2065,Shurelya's Battlesong,슈렐리아의 군가,蘇瑞亞的戰歌,legendary
item,2138,2138,Elixir of Iron,강철의 영약,抗擊藥劑,consumable
item,2139,2139,Elixir of Sorcery,마법의 영약,巫魔藥劑,consumable
item,2140,2140,Elixir of Wrath,분노의 영약,憤怒藥劑,consumable
item,2141,2141,Cappa Juice,카파 주스,帽帽果汁,consumable
item,2420,2420,Seeker's Armguard,추적자의 팔목 보호대,探索者護腕,epic
item,2421,2421,Shattered Armguard,부서진 팔목 보호대,破碎的護腕,epic
item,2501,2501,Overlord's Bloodmail,지배자의 피갑옷,狂霸血甲,legendary
item,2502,2502,Unending Despair,끝없는 절망,無盡絕望,legendary
item,2503,2503,Blackfire Torch,어둠불꽃 횃불,黑焰火炬,legendary
item,2504,2504,Kaenic Rookern,케이닉 루컨,凱尼克欺瞞者,legendary
item,2508,2508,Fated Ashes,운명의 재,命定灰燼,epic
item,2510,2510,Dusk and Dawn,황혼과 새벽,暮夜與黎明,legendary
item,2512,2512,Fiendhunter Bolts,악마사냥꾼의 화살,獵魔弩箭,legendary
item,2517,2517,Endless Hunger,끝없는 갈망,無盡飢渴,legendary
item,2520,2520,Bastionbreaker,요새파괴자,破堡者,legendary
item,2522,2522,Actualizer,실체화 장비,時現者,legendary
item,2523,2523,Hexoptics C44,마법광학 장치 C44,海克斯光學C44,legendary
item,2524,2524,Bandlepipes,밴들파이프,班德爾笛子,legendary
item,2525,2525,Protoplasm Harness,원형질 안전벨트,原質馭帶,legendary
item,2526,2526,Whispering Circlet,속삭이는 머리띠,低語之環,legendary
item,3003,3003,Archangel's Staff,대천사의 지팡이,大天使之杖,legendary
item,3004,3004,Manamune,마나무네,魔劍正宗,legendary
item,3006,3006,Berserker's Greaves,광전사의 군화,狂戰士護脛,boots
item,3008,3008,Gluttonous Greaves,탐욕의 군화,貪婪護脛,boots
item,3009,3009,Boots of Swiftness,신속의 장화,輕靈之靴,boots
item,3020,3020,Sorcerer's Shoes,마법사의 신발,法師之靴,boots
